ELEID,INDEX,KSATV,THETA_S,THETA_R,INFD,ALPA,BETA,HAREAF,KSATMACV
166,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
167,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
168,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
169,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
170,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
171,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
172,168,0.72186609,0.46114272,0.01,0.1,4.76788,1.2074,0.01,72.1866
173,48,0.55845359,0.44595779,0.01,0.1,4.97835,1.17573,0.01,55.8454
174,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
175,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
176,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
177,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
178,48,0.55845359,0.44595779,0.01,0.1,4.97835,1.17573,0.01,55.8454
179,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
180,51,0.59784619,0.4424439,0.01,0.1,5.00255,1.20186,0.01,59.7846
181,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
182,48,0.55845359,0.44595779,0.01,0.1,4.97835,1.17573,0.01,55.8454
183,51,0.59784619,0.4424439,0.01,0.1,5.00255,1.20186,0.01,59.7846
184,9,0.42995675,0.41127919,0.01,0.1,5.02935,1.19145,0.01,42.9957
185,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
186,48,0.55845359,0.44595779,0.01,0.1,4.97835,1.17573,0.01,55.8454
187,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
188,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
189,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
190,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
191,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
192,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
193,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
194,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
195,227,0.61070804,0.45861902,0.01,0.1,4.99316,1.19015,0.01,61.0708
196,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
197,51,0.59784619,0.4424439,0.01,0.1,5.00255,1.20186,0.01,59.7846
198,9,0.42995675,0.41127919,0.01,0.1,5.02935,1.19145,0.01,42.9957
199,51,0.59784619,0.4424439,0.01,0.1,5.00255,1.20186,0.01,59.7846
200,126,0.62954595,0.44787285,0.01,0.1,5.39821,1.15887,0.01,62.9546
201,172,0.92906688,0.4383569,0.01,0.1,6.4002,1.2128,0.01,92.9067
