sdmx-attribute:refArea,dcat:measure_1_value,dcat-dimension:thing,sdmx-attribute:unitMeasure,sdmx-dimension:refPeriod
South Sudan - Bor,106.0,Exchange rate - Retail,SSP/USD/LCU,2017-03-15
South Sudan - Bor,250.0,"Wage (non-qualified labour, non-agricultural) - Retail",SSP/Day,2018-03-15
South Sudan - Bor,500.0,"Wage (non-qualified labour, non-agricultural) - Retail",SSP/Day,2018-04-15
South Sudan - Bor,500.0,"Wage (non-qualified labour, non-agricultural) - Retail",SSP/Day,2018-06-15
South Sudan - Bor,566.0,"Wage (non-qualified labour, non-agricultural) - Retail",SSP/Day,2018-07-15
South Sudan - Bor,475.0,"Wage (non-qualified labour, non-agricultural) - Retail",SSP/Day,2018-08-15
South Sudan - Bor,500.0,"Wage (non-qualified labour, non-agricultural) - Retail",SSP/Day,2018-09-15
South Sudan - Bor,500.0,"Wage (non-qualified labour, non-agricultural) - Retail",SSP/Day,2018-10-15
South Sudan - Bor,575.0,"Wage (non-qualified labour, non-agricultural) - Retail",SSP/Day,2018-12-15
South Sudan - Bor,600.0,"Wage (non-qualified labour, non-agricultural) - Retail",SSP/Day,2019-03-15
South Sudan - Bor,10.4,Exchange rate (unofficial) - Retail,SSP/USD/LCU,2017-01-15
South Sudan - Bor,111.15,Exchange rate (unofficial) - Retail,SSP/USD/LCU,2017-02-15
South Sudan - Bor,115.0,Exchange rate (unofficial) - Retail,SSP/USD/LCU,2017-03-15
South Sudan - Bor,300.0,"Fuel (diesel, parallel market) - Retail",SSP/L,2018-03-15
South Sudan - Bor,325.0,"Fuel (diesel, parallel market) - Retail",SSP/L,2018-04-15
South Sudan - Bor,300.0,"Fuel (petrol-gasoline, parallel market) - Retail",SSP/L,2018-04-15
South Sudan - Bor,9250.0,"Livestock (sheep, medium-sized male) - Retail",SSP/Head,2018-03-15
South Sudan - Bor,10000.0,"Livestock (sheep, medium-sized male) - Retail",SSP/Head,2018-04-15
South Sudan - Bor,11200.0,"Livestock (sheep, medium-sized male) - Retail",SSP/Head,2018-06-15
South Sudan - Bor,12333.0,"Livestock (sheep, medium-sized male) - Retail",SSP/Head,2018-07-15
South Sudan - Bor,12250.0,"Livestock (sheep, medium-sized male) - Retail",SSP/Head,2018-08-15
South Sudan - Bor,11000.0,"Livestock (sheep, medium-sized male) - Retail",SSP/Head,2018-09-15
South Sudan - Bor,11500.0,"Livestock (sheep, medium-sized male) - Retail",SSP/Head,2018-10-15
South Sudan - Bor,14500.0,"Livestock (sheep, medium-sized male) - Retail",SSP/Head,2018-12-15
South Sudan - Bor,9600.0,"Livestock (sheep, medium-sized male) - Retail",SSP/Head,2019-03-15
South Sudan - Bor,12000.0,"Livestock (goat, medium-sized male) - Retail",SSP/Head,2018-03-15
South Sudan - Bor,13000.0,"Livestock (goat, medium-sized male) - Retail",SSP/Head,2018-04-15
South Sudan - Bor,14200.0,"Livestock (goat, medium-sized male) - Retail",SSP/Head,2018-06-15
South Sudan - Bor,15000.0,"Livestock (goat, medium-sized male) - Retail",SSP/Head,2018-07-15
South Sudan - Bor,15250.0,"Livestock (goat, medium-sized male) - Retail",SSP/Head,2018-08-15
South Sudan - Bor,14000.0,"Livestock (goat, medium-sized male) - Retail",SSP/Head,2018-09-15
South Sudan - Bor,14500.0,"Livestock (goat, medium-sized male) - Retail",SSP/Head,2018-10-15
South Sudan - Bor,21250.0,"Livestock (goat, medium-sized male) - Retail",SSP/Head,2018-12-15
South Sudan - Bor,12400.0,"Livestock (goat, medium-sized male) - Retail",SSP/Head,2019-03-15
South Sudan - Bor,1.9411764701999996,"Sorghum (white, imported) - Wholesale",$/kg,2019-03-15
South Sudan - Bor,0.01680672268571428,"Sorghum (white, imported) - Retail",$/kg,2008-05-15
South Sudan - Bor,0.01680672268571428,"Sorghum (white, imported) - Retail",$/kg,2008-06-15
South Sudan - Bor,0.01680672268571428,"Sorghum (white, imported) - Retail",$/kg,2008-08-15
South Sudan - Bor,0.021008403357142852,"Sorghum (white, imported) - Retail",$/kg,2008-09-15
South Sudan - Bor,0.020798319323571422,"Sorghum (white, imported) - Retail",$/kg,2008-10-15
South Sudan - Bor,0.020168067222857137,"Sorghum (white, imported) - Retail",$/kg,2008-11-15
South Sudan - Bor,0.01796218487035714,"Sorghum (white, imported) - Retail",$/kg,2009-01-15
South Sudan - Bor,0.01806722688714285,"Sorghum (white, imported) - Retail",$/kg,2009-02-15
South Sudan - Bor,0.019957983189285707,"Sorghum (white, imported) - Retail",$/kg,2009-03-15
South Sudan - Bor,0.026575630246785706,"Sorghum (white, imported) - Retail",$/kg,2009-04-15
South Sudan - Bor,0.03319327730428571,"Sorghum (white, imported) - Retail",$/kg,2009-05-15
South Sudan - Bor,0.03256302520357142,"Sorghum (white, imported) - Retail",$/kg,2009-06-15
South Sudan - Bor,0.03413865545535713,"Sorghum (white, imported) - Retail",$/kg,2009-07-15
South Sudan - Bor,0.030812184867787133,"Sorghum (white, imported) - Retail",$/kg,2009-08-15
South Sudan - Bor,0.02941176469999999,"Sorghum (white, imported) - Retail",$/kg,2009-09-15
South Sudan - Bor,0.03151260503571428,"Sorghum (white, imported) - Retail",$/kg,2009-10-15
South Sudan - Bor,0.03413865545535713,"Sorghum (white, imported) - Retail",$/kg,2009-11-15
South Sudan - Bor,0.0346638655392857,"Sorghum (white, imported) - Retail",$/kg,2009-12-15
South Sudan - Bor,0.03256302520357142,"Sorghum (white, imported) - Retail",$/kg,2010-01-15
South Sudan - Bor,0.03361344537142856,"Sorghum (white, imported) - Retail",$/kg,2010-02-15
South Sudan - Bor,0.0346638655392857,"Sorghum (white, imported) - Retail",$/kg,2010-03-15
South Sudan - Bor,0.03529411763999999,"Sorghum (white, imported) - Retail",$/kg,2010-04-15
South Sudan - Bor,0.03361344537142856,"Sorghum (white, imported) - Retail",$/kg,2010-05-15
South Sudan - Bor,0.03361344537142856,"Sorghum (white, imported) - Retail",$/kg,2010-06-15
South Sudan - Bor,0.03361344537142856,"Sorghum (white, imported) - Retail",$/kg,2010-07-15
South Sudan - Bor,0.03361344537142856,"Sorghum (white, imported) - Retail",$/kg,2010-08-15
South Sudan - Bor,0.03361344537142856,"Sorghum (white, imported) - Retail",$/kg,2010-09-15
South Sudan - Bor,0.03151260503571428,"Sorghum (white, imported) - Retail",$/kg,2010-10-15
South Sudan - Bor,0.03361344537142856,"Sorghum (white, imported) - Retail",$/kg,2010-11-15
South Sudan - Bor,0.03361344537142856,"Sorghum (white, imported) - Retail",$/kg,2010-12-15
South Sudan - Bor,0.03256302520357142,"Sorghum (white, imported) - Retail",$/kg,2011-01-15
South Sudan - Bor,0.030812184867787133,"Sorghum (white, imported) - Retail",$/kg,2011-02-15
South Sudan - Bor,0.03151260503571428,"Sorghum (white, imported) - Retail",$/kg,2011-03-15
South Sudan - Bor,0.03571428570714284,"Sorghum (white, imported) - Retail",$/kg,2011-04-15
South Sudan - Bor,0.039915966378571414,"Sorghum (white, imported) - Retail",$/kg,2011-05-15
South Sudan - Bor,0.042016806714285704,"Sorghum (white, imported) - Retail",$/kg,2011-06-15
South Sudan - Bor,0.042016806714285704,"Sorghum (white, imported) - Retail",$/kg,2011-07-15
South Sudan - Bor,0.04726890755357141,"Sorghum (white, imported) - Retail",$/kg,2011-08-15
South Sudan - Bor,0.06302521007142856,"Sorghum (white, imported) - Retail",$/kg,2011-09-15
South Sudan - Bor,0.05567226889642855,"Sorghum (white, imported) - Retail",$/kg,2011-10-15
South Sudan - Bor,0.06197478990357141,"Sorghum (white, imported) - Retail",$/kg,2011-11-15
South Sudan - Bor,0.06302521007142856,"Sorghum (white, imported) - Retail",$/kg,2011-12-15
South Sudan - Bor,0.06302521007142856,"Sorghum (white, imported) - Retail",$/kg,2012-01-15
South Sudan - Bor,0.06302521007142856,"Sorghum (white, imported) - Retail",$/kg,2012-02-15
South Sudan - Bor,0.06302521007142856,"Sorghum (white, imported) - Retail",$/kg,2012-03-15
South Sudan - Bor,0.06302521007142856,"Sorghum (white, imported) - Retail",$/kg,2012-04-15
South Sudan - Bor,0.07878151258928569,"Sorghum (white, imported) - Retail",$/kg,2012-05-15
South Sudan - Bor,0.042016806714285704,"Sorghum (white, imported) - Retail",$/kg,2012-07-15
South Sudan - Bor,0.04705882351999998,"Sorghum (white, imported) - Retail",$/kg,2012-08-15
South Sudan - Bor,0.06302521007142856,"Sorghum (white, imported) - Retail",$/kg,2012-09-15
South Sudan - Bor,0.08403361342857141,"Sorghum (white, imported) - Retail",$/kg,2012-10-15
South Sudan - Bor,0.06050420166857141,"Sorghum (white, imported) - Retail",$/kg,2012-11-15
South Sudan - Bor,0.05042016805714284,"Sorghum (white, imported) - Retail",$/kg,2012-12-15
South Sudan - Bor,0.07142857141428569,"Sorghum (white, imported) - Retail",$/kg,2013-01-15
South Sudan - Bor,0.08403361342857141,"Sorghum (white, imported) - Retail",$/kg,2013-02-15
South Sudan - Bor,0.08403361342857141,"Sorghum (white, imported) - Retail",$/kg,2013-03-15
South Sudan - Bor,0.08403361342857141,"Sorghum (white, imported) - Retail",$/kg,2013-04-15
South Sudan - Bor,0.08403361342857141,"Sorghum (white, imported) - Retail",$/kg,2013-05-15
South Sudan - Bor,0.08403361342857141,"Sorghum (white, imported) - Retail",$/kg,2013-06-15
South Sudan - Bor,0.09243697477142854,"Sorghum (white, imported) - Retail",$/kg,2013-07-15
South Sudan - Bor,0.08718487393214283,"Sorghum (white, imported) - Retail",$/kg,2013-08-15
South Sudan - Bor,0.09243697477142854,"Sorghum (white, imported) - Retail",$/kg,2013-09-15
South Sudan - Bor,0.08403361342857141,"Sorghum (white, imported) - Retail",$/kg,2013-10-15
South Sudan - Bor,0.07878151258928569,"Sorghum (white, imported) - Retail",$/kg,2013-11-15
South Sudan - Bor,0.08403361342857141,"Sorghum (white, imported) - Retail",$/kg,2013-12-15
South Sudan - Bor,0.06302521007142856,"Sorghum (white, imported) - Retail",$/kg,2014-08-15
South Sudan - Bor,0.0640756302392857,"Sorghum (white, imported) - Retail",$/kg,2014-09-15
South Sudan - Bor,0.07037815124642854,"Sorghum (white, imported) - Retail",$/kg,2014-10-15
South Sudan - Bor,0.07247899158214283,"Sorghum (white, imported) - Retail",$/kg,2014-11-15
South Sudan - Bor,0.06302521007142856,"Sorghum (white, imported) - Retail",$/kg,2014-12-15
South Sudan - Bor,0.0693277310785714,"Sorghum (white, imported) - Retail",$/kg,2015-01-15
South Sudan - Bor,0.06302521007142856,"Sorghum (white, imported) - Retail",$/kg,2015-02-15
South Sudan - Bor,0.08403361342857141,"Sorghum (white, imported) - Retail",$/kg,2015-04-15
South Sudan - Bor,0.12941176467999996,"Sorghum (white, imported) - Retail",$/kg,2015-05-15
South Sudan - Bor,0.09327731090571426,"Sorghum (white, imported) - Retail",$/kg,2015-06-15
South Sudan - Bor,0.09453781510714282,"Sorghum (white, imported) - Retail",$/kg,2015-07-15
South Sudan - Bor,0.07983193275714283,"Sorghum (white, imported) - Retail",$/kg,2015-08-15
South Sudan - Bor,0.10504201678571425,"Sorghum (white, imported) - Retail",$/kg,2015-09-15
South Sudan - Bor,0.13025210081428568,"Sorghum (white, imported) - Retail",$/kg,2015-10-15
South Sudan - Bor,0.1386554621571428,"Sorghum (white, imported) - Retail",$/kg,2015-11-15
South Sudan - Bor,0.14285714282857137,"Sorghum (white, imported) - Retail",$/kg,2015-12-15
South Sudan - Bor,0.14705882349999996,"Sorghum (white, imported) - Retail",$/kg,2016-01-15
South Sudan - Bor,0.15966386551428566,"Sorghum (white, imported) - Retail",$/kg,2016-02-15
South Sudan - Bor,0.33613445371428563,"Sorghum (white, imported) - Retail",$/kg,2016-04-15
South Sudan - Bor,0.33613445371428563,"Sorghum (white, imported) - Retail",$/kg,2016-05-15
South Sudan - Bor,0.33613445371428563,"Sorghum (white, imported) - Retail",$/kg,2016-06-15
South Sudan - Bor,0.3781512604285713,"Sorghum (white, imported) - Retail",$/kg,2016-07-15
South Sudan - Bor,0.5777310923214284,"Sorghum (white, imported) - Retail",$/kg,2016-08-15
South Sudan - Bor,0.6722689074285713,"Sorghum (white, imported) - Retail",$/kg,2016-09-15
South Sudan - Bor,0.6512605040714283,"Sorghum (white, imported) - Retail",$/kg,2016-10-15
South Sudan - Bor,0.6302521007142855,"Sorghum (white, imported) - Retail",$/kg,2016-11-15
South Sudan - Bor,1.1344537812857138,"Sorghum (white, imported) - Retail",$/kg,2016-12-15
South Sudan - Bor,1.1483193275014283,"Sorghum (white, imported) - Retail",$/kg,2017-01-15
South Sudan - Bor,1.3445378148571425,"Sorghum (white, imported) - Retail",$/kg,2017-02-15
South Sudan - Bor,1.3445378148571425,"Sorghum (white, imported) - Retail",$/kg,2017-03-15
South Sudan - Bor,1.4004201677871424,"Sorghum (white, imported) - Retail",$/kg,2017-04-15
South Sudan - Bor,2.4705882347999992,"Sorghum (white, imported) - Retail",$/kg,2017-06-15
South Sudan - Bor,1.9075630248285709,"Sorghum (white, imported) - Retail",$/kg,2017-07-15
South Sudan - Bor,1.9117647054999993,"Sorghum (white, imported) - Retail",$/kg,2017-08-15
South Sudan - Bor,1.777310924014285,"Sorghum (white, imported) - Retail",$/kg,2017-09-15
South Sudan - Bor,1.6386554618571423,"Sorghum (white, imported) - Retail",$/kg,2017-10-15
South Sudan - Bor,1.3655462182142852,"Sorghum (white, imported) - Retail",$/kg,2017-11-15
South Sudan - Bor,1.9117647054999993,"Sorghum (white, imported) - Retail",$/kg,2017-12-15
South Sudan - Bor,1.680672268571428,"Sorghum (white, imported) - Retail",$/kg,2018-01-15
South Sudan - Bor,1.4411764702999996,"Sorghum (white, imported) - Retail",$/kg,2018-03-15
South Sudan - Bor,1.680672268571428,"Sorghum (white, imported) - Retail",$/kg,2018-04-15
South Sudan - Bor,1.680672268571428,"Sorghum (white, imported) - Retail",$/kg,2018-05-15
South Sudan - Bor,1.7647058819999994,"Sorghum (white, imported) - Retail",$/kg,2018-06-15
South Sudan - Bor,1.9327731088571423,"Sorghum (white, imported) - Retail",$/kg,2018-07-15
South Sudan - Bor,2.100840335714285,"Sorghum (white, imported) - Retail",$/kg,2018-09-15
South Sudan - Bor,1.7857142853571422,"Sorghum (white, imported) - Retail",$/kg,2018-10-15
South Sudan - Bor,2.100840335714285,"Sorghum (white, imported) - Retail",$/kg,2018-11-15
South Sudan - Bor,1.9957983189285708,"Sorghum (white, imported) - Retail",$/kg,2018-12-15
South Sudan - Bor,1.7647058819999994,Sorghum (local) - Retail,$/kg,2018-06-15
South Sudan - Bor,1.4705882349999995,Sorghum (local) - Retail,$/kg,2018-07-15
South Sudan - Bor,1.9957983189285708,Sorghum (local) - Retail,$/kg,2018-12-15
South Sudan - Bor,2.100840335714285,Sorghum (local) - Retail,$/kg,2019-03-15
South Sudan - Bor,0.2941176469999999,Milling cost (sorghum) - Retail,$/kg,2018-06-15
South Sudan - Bor,0.2941176469999999,Milling cost (sorghum) - Retail,$/kg,2018-07-15
South Sudan - Bor,0.420168067142857,Milling cost (sorghum) - Retail,$/kg,2019-03-15
South Sudan - Bor,85.0,Milling cost (sorghum) - Retail,SSP/LCU/3.5kg,2018-08-15
South Sudan - Bor,100.0,Milling cost (sorghum) - Retail,SSP/LCU/3.5kg,2018-09-15
South Sudan - Bor,100.0,Milling cost (sorghum) - Retail,SSP/LCU/3.5kg,2018-10-15
South Sudan - Bor,100.0,Milling cost (sorghum) - Retail,SSP/LCU/3.5kg,2018-12-15
South Sudan - Aweil (Town),4.3235294109,Rice - Retail,$/kg,2018-03-15
South Sudan - Aweil (Town),5.04411764605,Rice - Retail,$/kg,2018-04-15
South Sudan - Aweil (Town),5.992647057625,Rice - Retail,$/kg,2018-06-15
South Sudan - Aweil (Town),4.4117647049999995,Rice - Retail,$/kg,2018-07-15
South Sudan - Aweil (Town),4.4117647049999995,Rice - Retail,$/kg,2018-08-15
South Sudan - Aweil (Town),4.4117647049999995,Rice - Retail,$/kg,2018-09-15
South Sudan - Aweil (Town),2.94117647,Rice - Retail,$/kg,2018-10-15
South Sudan - Aweil (Town),5.80882352825,Rice - Retail,$/kg,2018-12-15
South Sudan - Aweil (Town),6.36764705755,Rice - Retail,$/kg,2019-03-15
South Sudan - Aweil (Town),6.10294117525,Maize meal - Retail,$/kg,2018-06-15
South Sudan - Aweil (Town),5.257352940125,Maize meal - Retail,$/kg,2018-07-15
South Sudan - Aweil (Town),4.6764705873,Maize meal - Retail,$/kg,2018-08-15
South Sudan - Aweil (Town),3.9411764698,Maize meal - Retail,$/kg,2018-09-15
South Sudan - Aweil (Town),2.647058823,Maize meal - Retail,$/kg,2018-10-15
South Sudan - Aweil (Town),3.60294117575,Maize meal - Retail,$/kg,2018-12-15
South Sudan - Aweil (Town),4.014705881549999,Maize meal - Retail,$/kg,2019-03-15
South Sudan - Aweil (Town),0.046569117637744996,Wheat flour - Retail,$/kg,2009-05-15
South Sudan - Aweil (Town),0.04411764705,Wheat flour - Retail,$/kg,2009-06-15
South Sudan - Aweil (Town),0.0404411764625,Wheat flour - Retail,$/kg,2009-07-15
South Sudan - Aweil (Town),0.04411764705,Wheat flour - Retail,$/kg,2009-08-15
South Sudan - Aweil (Town),0.0477941176375,Wheat flour - Retail,$/kg,2009-09-15
South Sudan - Aweil (Town),0.051470588224999995,Wheat flour - Retail,$/kg,2009-10-15
South Sudan - Aweil (Town),0.0330882352875,Wheat flour - Retail,$/kg,2009-11-15
South Sudan - Aweil (Town),0.03860294116875,Wheat flour - Retail,$/kg,2009-12-15
South Sudan - Aweil (Town),0.0477941176375,Wheat flour - Retail,$/kg,2010-01-15
South Sudan - Aweil (Town),0.04411764705,Wheat flour - Retail,$/kg,2010-02-15
South Sudan - Aweil (Town),0.0404411764625,Wheat flour - Retail,$/kg,2010-03-15
South Sudan - Aweil (Town),0.03235294117,Wheat flour - Retail,$/kg,2010-04-15
South Sudan - Aweil (Town),0.0404411764625,Wheat flour - Retail,$/kg,2010-05-15
South Sudan - Aweil (Town),0.04411764705,Wheat flour - Retail,$/kg,2010-06-15
South Sudan - Aweil (Town),0.04411764705,Wheat flour - Retail,$/kg,2010-07-15
South Sudan - Aweil (Town),0.04411764705,Wheat flour - Retail,$/kg,2010-08-15
South Sudan - Aweil (Town),0.04411764705,Wheat flour - Retail,$/kg,2010-09-15
South Sudan - Aweil (Town),0.0404411764625,Wheat flour - Retail,$/kg,2010-10-15
South Sudan - Aweil (Town),0.04963235293125,Wheat flour - Retail,$/kg,2010-11-15
South Sudan - Aweil (Town),0.05588235293,Wheat flour - Retail,$/kg,2010-12-15
South Sudan - Aweil (Town),0.068627941162745,Wheat flour - Retail,$/kg,2011-01-15
South Sudan - Aweil (Town),0.0588235294,Wheat flour - Retail,$/kg,2011-02-15
South Sudan - Aweil (Town),0.09007352939374999,Wheat flour - Retail,$/kg,2011-03-15
South Sudan - Aweil (Town),0.0698529411625,Wheat flour - Retail,$/kg,2011-04-15
South Sudan - Aweil (Town),0.0624999999875,Wheat flour - Retail,$/kg,2011-05-15
South Sudan - Aweil (Town),0.10294117644999999,Wheat flour - Retail,$/kg,2011-06-15
South Sudan - Aweil (Town),0.0882352941,Wheat flour - Retail,$/kg,2011-07-15
South Sudan - Aweil (Town),0.095588235275,Wheat flour - Retail,$/kg,2011-08-15
South Sudan - Aweil (Town),0.1176470588,Wheat flour - Retail,$/kg,2011-09-15
South Sudan - Aweil (Town),0.12132352938749999,Wheat flour - Retail,$/kg,2011-10-15
South Sudan - Aweil (Town),0.1470588235,Wheat flour - Retail,$/kg,2011-11-15
South Sudan - Aweil (Town),0.10294117644999999,Wheat flour - Retail,$/kg,2011-12-15
South Sudan - Aweil (Town),0.0992647058625,Wheat flour - Retail,$/kg,2012-01-15
South Sudan - Aweil (Town),0.1066176470375,Wheat flour - Retail,$/kg,2012-02-15
South Sudan - Aweil (Town),0.10882352939,Wheat flour - Retail,$/kg,2012-03-15
South Sudan - Aweil (Town),0.14338235291249998,Wheat flour - Retail,$/kg,2012-04-15
South Sudan - Aweil (Town),0.19117647055,Wheat flour - Retail,$/kg,2012-05-15
South Sudan - Aweil (Town),0.0882352941,Wheat flour - Retail,$/kg,2012-07-15
South Sudan - Aweil (Town),0.095588235275,Wheat flour - Retail,$/kg,2012-08-15
South Sudan - Aweil (Town),0.1176470588,Wheat flour - Retail,$/kg,2012-09-15
South Sudan - Aweil (Town),0.1470588235,Wheat flour - Retail,$/kg,2012-10-15
South Sudan - Aweil (Town),0.1470588235,Wheat flour - Retail,$/kg,2012-11-15
South Sudan - Aweil (Town),0.1764705882,Wheat flour - Retail,$/kg,2012-12-15
South Sudan - Aweil (Town),0.183823529375,Wheat flour - Retail,$/kg,2013-01-15
South Sudan - Aweil (Town),0.1176470588,Wheat flour - Retail,$/kg,2013-02-15
South Sudan - Aweil (Town),0.1176470588,Wheat flour - Retail,$/kg,2013-03-15
South Sudan - Aweil (Town),0.1470588235,Wheat flour - Retail,$/kg,2014-01-15
South Sudan - Aweil (Town),0.0882352941,Wheat flour - Retail,$/kg,2014-02-15
South Sudan - Aweil (Town),0.0882352941,Wheat flour - Retail,$/kg,2014-03-15
South Sudan - Aweil (Town),0.0882352941,Wheat flour - Retail,$/kg,2014-04-15
South Sudan - Aweil (Town),0.07352941175,Wheat flour - Retail,$/kg,2014-05-15
South Sudan - Aweil (Town),0.0882352941,Wheat flour - Retail,$/kg,2014-06-15
South Sudan - Aweil (Town),0.0882352941,Wheat flour - Retail,$/kg,2014-07-15
South Sudan - Aweil (Town),0.301470588175,Wheat flour - Retail,$/kg,2015-05-15
South Sudan - Aweil (Town),0.272058823475,Wheat flour - Retail,$/kg,2015-06-15
South Sudan - Aweil (Town),0.24999999995,Wheat flour - Retail,$/kg,2015-07-15
South Sudan - Aweil (Town),0.294117647,Wheat flour - Retail,$/kg,2015-08-15
South Sudan - Aweil (Town),0.22058823525,Wheat flour - Retail,$/kg,2015-09-15
South Sudan - Aweil (Town),0.213235294075,Wheat flour - Retail,$/kg,2015-10-15
South Sudan - Aweil (Town),0.34999999992999997,Wheat flour - Retail,$/kg,2015-11-15
South Sudan - Aweil (Town),0.330882352875,Wheat flour - Retail,$/kg,2015-12-15
South Sudan - Aweil (Town),0.3235294117,Wheat flour - Retail,$/kg,2016-01-15
South Sudan - Aweil (Town),0.36764705875,Wheat flour - Retail,$/kg,2016-02-15
South Sudan - Aweil (Town),0.477941176375,Wheat flour - Retail,$/kg,2016-03-15
South Sudan - Aweil (Town),0.48529411754999996,Wheat flour - Retail,$/kg,2016-04-15
South Sudan - Aweil (Town),0.460294117555,Wheat flour - Retail,$/kg,2016-05-15
South Sudan - Aweil (Town),0.5117647057799999,Wheat flour - Retail,$/kg,2016-06-15
South Sudan - Aweil (Town),1.213235293875,Wheat flour - Retail,$/kg,2016-07-15
South Sudan - Aweil (Town),1.52647058793,Wheat flour - Retail,$/kg,2016-08-15
South Sudan - Aweil (Town),1.874999999625,Wheat flour - Retail,$/kg,2016-09-15
South Sudan - Aweil (Town),1.6911764702499998,Wheat flour - Retail,$/kg,2016-10-15
South Sudan - Aweil (Town),1.6911764702499998,Wheat flour - Retail,$/kg,2016-11-15
South Sudan - Aweil (Town),1.83823529375,Wheat flour - Retail,$/kg,2016-12-15
South Sudan - Aweil (Town),1.6911764702499998,Wheat flour - Retail,$/kg,2017-01-15
South Sudan - Aweil (Town),1.764705882,Wheat flour - Retail,$/kg,2017-02-15
South Sudan - Aweil (Town),1.8823529408,Wheat flour - Retail,$/kg,2017-03-15
South Sudan - Aweil (Town),2.07352941135,Wheat flour - Retail,$/kg,2017-04-15
South Sudan - Aweil (Town),1.9852941172499998,Wheat flour - Retail,$/kg,2017-05-15
South Sudan - Aweil (Town),2.5294117642,Wheat flour - Retail,$/kg,2017-06-15
South Sudan - Aweil (Town),2.22058823485,Wheat flour - Retail,$/kg,2017-07-15
South Sudan - Aweil (Town),1.470588235,Wheat flour - Retail,$/kg,2017-08-15
South Sudan - Aweil (Town),1.9117647055,Wheat flour - Retail,$/kg,2017-10-15
South Sudan - Aweil (Town),1.9411764701999998,Wheat flour - Retail,$/kg,2017-11-15
South Sudan - Aweil (Town),2.4999999995,Wheat flour - Retail,$/kg,2017-12-15
South Sudan - Aweil (Town),2.6176470582999998,Wheat flour - Retail,$/kg,2018-01-15
South Sudan - Aweil (Town),3.30882352875,Wheat flour - Retail,$/kg,2018-03-15
South Sudan - Aweil (Town),4.30882352855,Wheat flour - Retail,$/kg,2018-04-15
South Sudan - Aweil (Town),5.95588235175,Wheat flour - Retail,$/kg,2018-06-15
South Sudan - Aweil (Town),5.588235292999999,Wheat flour - Retail,$/kg,2018-07-15
South Sudan - Aweil (Town),4.514705881449999,Wheat flour - Retail,$/kg,2018-08-15
South Sudan - Aweil (Town),4.2352941168,Wheat flour - Retail,$/kg,2018-09-15
South Sudan - Aweil (Town),3.1323529405499997,Wheat flour - Retail,$/kg,2018-10-15
South Sudan - Aweil (Town),4.04411764625,Wheat flour - Retail,$/kg,2018-12-15
South Sudan - Aweil (Town),4.705882352,Wheat flour - Retail,$/kg,2019-03-15
South Sudan - Aweil (Town),1.139705882125,Maize (white) - Wholesale,$/kg,2019-03-15
South Sudan - Aweil (Town),0.021428571424285704,Maize (white) - Retail,$/kg,2007-09-15
South Sudan - Aweil (Town),0.021638655457857137,Maize (white) - Retail,$/kg,2007-10-15
South Sudan - Aweil (Town),0.01859243697107142,Maize (white) - Retail,$/kg,2007-11-15
South Sudan - Aweil (Town),0.019327731088571422,Maize (white) - Retail,$/kg,2007-12-15
South Sudan - Aweil (Town),0.02268907562571428,Maize (white) - Retail,$/kg,2008-01-15
South Sudan - Aweil (Town),0.024579831927857135,Maize (white) - Retail,$/kg,2008-02-15
South Sudan - Aweil (Town),0.028991596632857136,Maize (white) - Retail,$/kg,2008-03-15
South Sudan - Aweil (Town),0.030252100834285704,Maize (white) - Retail,$/kg,2008-04-15
South Sudan - Aweil (Town),0.03214285713642856,Maize (white) - Retail,$/kg,2008-05-15
South Sudan - Aweil (Town),0.03277310923714285,Maize (white) - Retail,$/kg,2008-06-15
South Sudan - Aweil (Town),0.030252100834285704,Maize (white) - Retail,$/kg,2008-07-15
South Sudan - Aweil (Town),0.030252100834285704,Maize (white) - Retail,$/kg,2008-08-15
South Sudan - Aweil (Town),0.02689075629714285,Maize (white) - Retail,$/kg,2008-09-15
South Sudan - Aweil (Town),0.02268907562571428,Maize (white) - Retail,$/kg,2008-10-15
South Sudan - Aweil (Town),0.024579831927857135,Maize (white) - Retail,$/kg,2008-11-15
South Sudan - Aweil (Town),0.02268907562571428,Maize (white) - Retail,$/kg,2008-12-15
South Sudan - Aweil (Town),0.030252100834285704,Maize (white) - Retail,$/kg,2009-01-15
South Sudan - Aweil (Town),0.025840336129285706,Maize (white) - Retail,$/kg,2009-02-15
South Sudan - Aweil (Town),0.025840336129285706,Maize (white) - Retail,$/kg,2009-03-15
South Sudan - Aweil (Town),0.021008403357142852,Maize (white) - Retail,$/kg,2009-04-15
South Sudan - Aweil (Town),0.021008403357142852,Maize (white) - Retail,$/kg,2009-05-15
South Sudan - Aweil (Town),0.019957983189285707,Maize (white) - Retail,$/kg,2009-06-15
South Sudan - Aweil (Town),0.022058823524999993,Maize (white) - Retail,$/kg,2009-07-15
South Sudan - Aweil (Town),0.020483193273214278,Maize (white) - Retail,$/kg,2009-08-15
South Sudan - Aweil (Town),0.018382352937499995,Maize (white) - Retail,$/kg,2009-09-15
South Sudan - Aweil (Town),0.021008403357142852,Maize (white) - Retail,$/kg,2009-10-15
South Sudan - Aweil (Town),0.018382352937499995,Maize (white) - Retail,$/kg,2009-11-15
South Sudan - Aweil (Town),0.021008403357142852,Maize (white) - Retail,$/kg,2009-12-15
