MUKEY	SLT	CLY	om	BLD
279	27.5	27.5	1.293	1.27
280	17.5	42.5	1.293	1.43
281	27.5	32.5	0.431	1.32
282	12.5	27.5	1.293	1.38
283	22.5	32.5	1.293	1.27
284	22.5	27.5	0.431	1.27
285	27.5	22.5	2.155	1.27
286	22.5	32.5	0.431	1.27
287	22.5	37.5	1.293	1.32
288	22.5	22.5	0.431	1.32
289	22.5	22.5	0.431	1.38
290	22.5	17.5	2.155	1.32
291	27.5	22.5	3.017	1.38
292	27.5	32.5	3.017	1.38
293	22.5	22.5	0.431	1.43
294	22.5	17.5	1.293	1.32
295	22.5	42.5	2.155	1.43
296	17.5	17.5	1.293	1.57
297	22.5	27.5	0.431	1.43
298	27.5	27.5	0.431	1.43
299	22.5	27.5	3.017	1.38
300	12.5	27.5	2.155	1.32
301	27.5	27.5	3.017	1.38
302	17.5	17.5	1.293	1.32
303	22.5	12.5	1.293	1.43
304	22.5	17.5	3.017	1.38
305	17.5	17.5	3.017	1.48
306	17.5	17.5	3.017	1.43
307	17.5	32.5	3.017	1.32
308	32.5	27.5	2.155	1.38
309	22.5	37.5	3.017	1.32
310	27.5	17.5	2.155	1.32
311	27.5	27.5	0.431	1.48
312	22.5	22.5	2.155	1.27
313	27.5	22.5	0.431	1.48
314	22.5	17.5	0.431	1.48
315	17.5	22.5	2.155	1.27
316	17.5	22.5	3.017	1.38
317	22.5	17.5	0.431	1.38
318	22.5	17.5	0.431	1.43
319	17.5	12.5	1.293	1.48
320	17.5	17.5	2.155	1.38
321	27.5	22.5	0.431	1.32
322	22.5	12.5	2.155	1.38
323	27.5	27.5	2.155	1.27
324	27.5	32.5	1.293	1.27
325	27.5	32.5	2.155	1.27
326	27.5	32.5	0.431	1.38
327	22.5	32.5	0.431	1.43
328	17.5	12.5	1.293	1.43
329	22.5	12.5	1.293	1.38
330	17.5	12.5	1.293	1.38
331	17.5	17.5	2.155	1.32
332	17.5	22.5	0.431	1.38
333	17.5	17.5	0.431	1.38
334	17.5	17.5	0.431	1.43
335	17.5	22.5	0.431	1.43
336	22.5	17.5	3.017	1.32
337	22.5	22.5	3.017	1.32
338	27.5	27.5	0.431	1.27
339	17.5	22.5	0.431	1.32
340	22.5	12.5	2.155	1.43
341	17.5	27.5	2.155	1.27
342	22.5	12.5	1.293	1.32
343	22.5	17.5	1.293	1.27
344	27.5	22.5	0.431	1.38
345	17.5	27.5	0.431	1.43
346	17.5	27.5	0.431	1.38
347	17.5	17.5	1.293	1.27
348	27.5	32.5	0.431	1.27
349	17.5	22.5	1.293	1.27
350	17.5	27.5	0.431	1.32
351	17.5	32.5	0.431	1.32
352	27.5	22.5	0.431	1.43
353	17.5	17.5	0.431	1.32
354	17.5	12.5	0.431	1.38
355	22.5	17.5	0.431	1.32
356	17.5	32.5	0.431	1.38
357	22.5	22.5	0.431	1.27
358	17.5	27.5	1.293	1.27
359	22.5	27.5	1.293	1.23
360	22.5	22.5	1.293	1.23
361	27.5	27.5	3.017	1.32
362	17.5	22.5	0.431	1.27
363	17.5	32.5	1.293	1.27
364	27.5	32.5	2.155	1.23
