sdmx-dimension:refPeriod,sdmx-attribute:unitMeasure,dcat-dimension:thing,dcat:measure_1_value,sdmx-attribute:refArea
2010-10-15,SSP/KG,Beans (red) - Retail,10.5,South Sudan - Konyo Konyo
2010-11-15,SSP/KG,Beans (red) - Retail,8.5,South Sudan - Konyo Konyo
2010-12-15,SSP/KG,Beans (red) - Retail,9.4,South Sudan - Konyo Konyo
2011-01-15,SSP/KG,Beans (red) - Retail,11.3333,South Sudan - Konyo Konyo
2011-02-15,SSP/KG,Beans (red) - Retail,12.0,South Sudan - Konyo Konyo
2011-03-15,SSP/KG,Beans (red) - Retail,11.5,South Sudan - Konyo Konyo
2011-04-15,SSP/KG,Beans (red) - Retail,11.0,South Sudan - Konyo Konyo
2011-05-15,SSP/KG,Beans (red) - Retail,11.5,South Sudan - Konyo Konyo
2011-06-15,SSP/KG,Beans (red) - Retail,14.875,South Sudan - Konyo Konyo
2011-07-15,SSP/KG,Beans (red) - Retail,16.5,South Sudan - Konyo Konyo
2011-08-15,SSP/KG,Beans (red) - Retail,20.0,South Sudan - Konyo Konyo
2011-09-15,SSP/KG,Beans (red) - Retail,17.625,South Sudan - Konyo Konyo
2011-10-15,SSP/KG,Beans (red) - Retail,20.625,South Sudan - Konyo Konyo
2011-11-15,SSP/KG,Beans (red) - Retail,20.25,South Sudan - Konyo Konyo
2011-12-15,SSP/KG,Beans (red) - Retail,18.6667,South Sudan - Konyo Konyo
2012-01-15,SSP/KG,Beans (red) - Retail,17.0,South Sudan - Konyo Konyo
2012-02-15,SSP/KG,Beans (red) - Retail,19.5,South Sudan - Konyo Konyo
2012-03-15,SSP/KG,Beans (red) - Retail,23.8,South Sudan - Konyo Konyo
2012-04-15,SSP/KG,Beans (red) - Retail,13.25,South Sudan - Konyo Konyo
2012-05-15,SSP/KG,Beans (red) - Retail,25.0,South Sudan - Konyo Konyo
2012-07-15,SSP/KG,Beans (red) - Retail,16.5,South Sudan - Konyo Konyo
2012-08-15,SSP/KG,Beans (red) - Retail,20.0,South Sudan - Konyo Konyo
2012-09-15,SSP/KG,Beans (red) - Retail,17.6,South Sudan - Konyo Konyo
2012-10-15,SSP/KG,Beans (red) - Retail,22.5,South Sudan - Konyo Konyo
2012-11-15,SSP/KG,Beans (red) - Retail,25.0,South Sudan - Konyo Konyo
2012-12-15,SSP/KG,Beans (red) - Retail,20.0,South Sudan - Konyo Konyo
2013-01-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Konyo Konyo
2013-02-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Konyo Konyo
2013-03-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Konyo Konyo
2013-04-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Konyo Konyo
2013-05-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Konyo Konyo
2013-06-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Konyo Konyo
2013-07-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Konyo Konyo
2013-08-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Konyo Konyo
2013-09-15,SSP/KG,Beans (red) - Retail,8.2,South Sudan - Konyo Konyo
2013-10-15,SSP/KG,Beans (red) - Retail,8.25,South Sudan - Konyo Konyo
2013-11-15,SSP/KG,Beans (red) - Retail,12.0,South Sudan - Konyo Konyo
2013-12-15,SSP/KG,Beans (red) - Retail,12.0,South Sudan - Konyo Konyo
2014-01-15,SSP/KG,Beans (red) - Retail,20.0,South Sudan - Konyo Konyo
2014-02-15,SSP/KG,Beans (red) - Retail,18.0,South Sudan - Konyo Konyo
2014-03-15,SSP/KG,Beans (red) - Retail,17.0,South Sudan - Konyo Konyo
2014-04-15,SSP/KG,Beans (red) - Retail,16.0,South Sudan - Konyo Konyo
2014-05-15,SSP/KG,Beans (red) - Retail,14.0,South Sudan - Konyo Konyo
2014-06-15,SSP/KG,Beans (red) - Retail,14.0,South Sudan - Konyo Konyo
2014-07-15,SSP/KG,Beans (red) - Retail,14.0,South Sudan - Konyo Konyo
2014-08-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Konyo Konyo
2014-09-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Konyo Konyo
2014-10-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Konyo Konyo
2014-11-15,SSP/KG,Beans (red) - Retail,11.0,South Sudan - Konyo Konyo
2014-12-15,SSP/KG,Beans (red) - Retail,11.0,South Sudan - Konyo Konyo
2015-01-15,SSP/KG,Beans (red) - Retail,13.7,South Sudan - Konyo Konyo
2015-02-15,SSP/KG,Beans (red) - Retail,13.5,South Sudan - Konyo Konyo
2015-03-15,SSP/KG,Beans (red) - Retail,13.0,South Sudan - Konyo Konyo
2015-04-15,SSP/KG,Beans (red) - Retail,17.0,South Sudan - Konyo Konyo
2015-05-15,SSP/KG,Beans (red) - Retail,33.0,South Sudan - Konyo Konyo
2015-06-15,SSP/KG,Beans (red) - Retail,22.5,South Sudan - Konyo Konyo
2015-07-15,SSP/KG,Beans (red) - Retail,19.6,South Sudan - Konyo Konyo
2015-08-15,SSP/KG,Beans (red) - Retail,20.0,South Sudan - Konyo Konyo
2015-09-15,SSP/KG,Beans (red) - Retail,19.2,South Sudan - Konyo Konyo
2015-10-15,SSP/KG,Beans (red) - Retail,38.8,South Sudan - Konyo Konyo
2015-12-15,SSP/KG,Beans (red) - Retail,40.8,South Sudan - Konyo Konyo
2016-01-15,SSP/KG,Beans (red) - Retail,38.0,South Sudan - Konyo Konyo
2016-02-15,SSP/KG,Beans (red) - Retail,43.7,South Sudan - Konyo Konyo
2016-03-15,SSP/KG,Beans (red) - Retail,61.25,South Sudan - Konyo Konyo
2016-04-15,SSP/KG,Beans (red) - Retail,52.0,South Sudan - Konyo Konyo
2016-05-15,SSP/KG,Beans (red) - Retail,67.0,South Sudan - Konyo Konyo
2016-06-15,SSP/KG,Beans (red) - Retail,73.0,South Sudan - Konyo Konyo
2016-07-15,SSP/KG,Beans (red) - Retail,60.0,South Sudan - Konyo Konyo
2016-08-15,SSP/KG,Beans (red) - Retail,65.0,South Sudan - Konyo Konyo
2016-09-15,SSP/KG,Beans (red) - Retail,74.0,South Sudan - Konyo Konyo
2016-10-15,SSP/KG,Beans (red) - Retail,113.2,South Sudan - Konyo Konyo
2016-11-15,SSP/KG,Beans (red) - Retail,156.0,South Sudan - Konyo Konyo
2016-12-15,SSP/KG,Beans (red) - Retail,165.0,South Sudan - Konyo Konyo
2017-01-15,SSP/KG,Beans (red) - Retail,200.0,South Sudan - Konyo Konyo
2017-02-15,SSP/KG,Beans (red) - Retail,200.0,South Sudan - Konyo Konyo
2017-03-15,SSP/KG,Beans (red) - Retail,285.0,South Sudan - Konyo Konyo
2017-04-15,SSP/KG,Beans (red) - Retail,367.0,South Sudan - Konyo Konyo
2017-05-15,SSP/KG,Beans (red) - Retail,232.0,South Sudan - Konyo Konyo
2017-06-15,SSP/KG,Beans (red) - Retail,251.0,South Sudan - Konyo Konyo
2017-07-15,SSP/KG,Beans (red) - Retail,268.0,South Sudan - Konyo Konyo
2017-08-15,SSP/KG,Beans (red) - Retail,250.0,South Sudan - Konyo Konyo
2017-10-15,SSP/KG,Beans (red) - Retail,273.0,South Sudan - Konyo Konyo
2017-11-15,SSP/KG,Beans (red) - Retail,235.0,South Sudan - Konyo Konyo
2017-12-15,SSP/KG,Beans (red) - Retail,236.0,South Sudan - Konyo Konyo
2018-01-15,SSP/KG,Beans (red) - Retail,235.0,South Sudan - Konyo Konyo
2018-03-15,SSP/KG,Beans (red) - Retail,338.0,South Sudan - Konyo Konyo
2018-04-15,SSP/KG,Beans (red) - Retail,350.0,South Sudan - Konyo Konyo
2018-06-15,SSP/KG,Beans (red) - Retail,455.0,South Sudan - Konyo Konyo
2018-07-15,SSP/KG,Beans (red) - Retail,500.0,South Sudan - Konyo Konyo
2018-08-15,SSP/KG,Beans (red) - Retail,450.0,South Sudan - Konyo Konyo
2018-09-15,SSP/KG,Beans (red) - Retail,350.0,South Sudan - Konyo Konyo
2018-10-15,SSP/KG,Beans (red) - Retail,250.0,South Sudan - Konyo Konyo
2018-12-15,SSP/KG,Beans (red) - Retail,255.0,South Sudan - Konyo Konyo
2019-03-15,SSP/KG,Beans (red) - Retail,318.0,South Sudan - Konyo Konyo
2013-04-15,SSP/L,Oil (vegetable) - Retail,10.0,South Sudan - Konyo Konyo
2013-05-15,SSP/L,Oil (vegetable) - Retail,10.0,South Sudan - Konyo Konyo
2013-06-15,SSP/L,Oil (vegetable) - Retail,10.0,South Sudan - Konyo Konyo
2013-07-15,SSP/L,Oil (vegetable) - Retail,8.5,South Sudan - Konyo Konyo
2013-08-15,SSP/L,Oil (vegetable) - Retail,10.0,South Sudan - Konyo Konyo
2013-09-15,SSP/L,Oil (vegetable) - Retail,12.5,South Sudan - Konyo Konyo
2013-10-15,SSP/L,Oil (vegetable) - Retail,10.5,South Sudan - Konyo Konyo
2013-11-15,SSP/L,Oil (vegetable) - Retail,10.0,South Sudan - Konyo Konyo
2013-12-15,SSP/L,Oil (vegetable) - Retail,12.75,South Sudan - Konyo Konyo
2014-01-15,SSP/L,Oil (vegetable) - Retail,12.0,South Sudan - Konyo Konyo
2014-02-15,SSP/L,Oil (vegetable) - Retail,10.0,South Sudan - Konyo Konyo
2014-03-15,SSP/L,Oil (vegetable) - Retail,10.0,South Sudan - Konyo Konyo
2014-04-15,SSP/L,Oil (vegetable) - Retail,10.0,South Sudan - Konyo Konyo
2014-05-15,SSP/L,Oil (vegetable) - Retail,8.0,South Sudan - Konyo Konyo
2014-06-15,SSP/L,Oil (vegetable) - Retail,8.0,South Sudan - Konyo Konyo
2014-07-15,SSP/L,Oil (vegetable) - Retail,8.0,South Sudan - Konyo Konyo
2014-08-15,SSP/L,Oil (vegetable) - Retail,8.0,South Sudan - Konyo Konyo
2014-09-15,SSP/L,Oil (vegetable) - Retail,10.5,South Sudan - Konyo Konyo
2014-10-15,SSP/L,Oil (vegetable) - Retail,10.0,South Sudan - Konyo Konyo
2014-11-15,SSP/L,Oil (vegetable) - Retail,11.6667,South Sudan - Konyo Konyo
2014-12-15,SSP/L,Oil (vegetable) - Retail,11.5,South Sudan - Konyo Konyo
2015-01-15,SSP/L,Oil (vegetable) - Retail,12.0,South Sudan - Konyo Konyo
2015-02-15,SSP/L,Oil (vegetable) - Retail,13.0,South Sudan - Konyo Konyo
2015-03-15,SSP/L,Oil (vegetable) - Retail,14.0,South Sudan - Konyo Konyo
2015-04-15,SSP/L,Oil (vegetable) - Retail,20.0,South Sudan - Konyo Konyo
2015-05-15,SSP/L,Oil (vegetable) - Retail,26.2,South Sudan - Konyo Konyo
2015-06-15,SSP/L,Oil (vegetable) - Retail,19.5,South Sudan - Konyo Konyo
2015-07-15,SSP/L,Oil (vegetable) - Retail,28.8,South Sudan - Konyo Konyo
2015-08-15,SSP/L,Oil (vegetable) - Retail,29.0,South Sudan - Konyo Konyo
2015-09-15,SSP/L,Oil (vegetable) - Retail,30.0,South Sudan - Konyo Konyo
2015-11-15,SSP/L,Oil (vegetable) - Retail,29.5,South Sudan - Konyo Konyo
2015-12-15,SSP/L,Oil (vegetable) - Retail,34.0,South Sudan - Konyo Konyo
2016-01-15,SSP/L,Oil (vegetable) - Retail,48.5,South Sudan - Konyo Konyo
2016-02-15,SSP/L,Oil (vegetable) - Retail,65.0,South Sudan - Konyo Konyo
2016-03-15,SSP/L,Oil (vegetable) - Retail,67.75,South Sudan - Konyo Konyo
2016-04-15,SSP/L,Oil (vegetable) - Retail,58.0,South Sudan - Konyo Konyo
2016-05-15,SSP/L,Oil (vegetable) - Retail,61.0,South Sudan - Konyo Konyo
2016-06-15,SSP/L,Oil (vegetable) - Retail,60.0,South Sudan - Konyo Konyo
2016-07-15,SSP/L,Oil (vegetable) - Retail,90.0,South Sudan - Konyo Konyo
2016-08-15,SSP/L,Oil (vegetable) - Retail,90.0,South Sudan - Konyo Konyo
2016-09-15,SSP/L,Oil (vegetable) - Retail,120.0,South Sudan - Konyo Konyo
2016-10-15,SSP/L,Oil (vegetable) - Retail,135.0,South Sudan - Konyo Konyo
2016-11-15,SSP/L,Oil (vegetable) - Retail,162.5,South Sudan - Konyo Konyo
2016-12-15,SSP/L,Oil (vegetable) - Retail,181.5,South Sudan - Konyo Konyo
2017-01-15,SSP/L,Oil (vegetable) - Retail,200.0,South Sudan - Konyo Konyo
2017-02-15,SSP/L,Oil (vegetable) - Retail,262.5,South Sudan - Konyo Konyo
2017-03-15,SSP/L,Oil (vegetable) - Retail,287.0,South Sudan - Konyo Konyo
2017-04-15,SSP/L,Oil (vegetable) - Retail,312.0,South Sudan - Konyo Konyo
2017-05-15,SSP/L,Oil (vegetable) - Retail,224.0,South Sudan - Konyo Konyo
2017-06-15,SSP/L,Oil (vegetable) - Retail,200.0,South Sudan - Konyo Konyo
2017-07-15,SSP/L,Oil (vegetable) - Retail,200.0,South Sudan - Konyo Konyo
2017-08-15,SSP/L,Oil (vegetable) - Retail,203.0,South Sudan - Konyo Konyo
2017-10-15,SSP/L,Oil (vegetable) - Retail,220.0,South Sudan - Konyo Konyo
2017-11-15,SSP/L,Oil (vegetable) - Retail,210.0,South Sudan - Konyo Konyo
2017-12-15,SSP/L,Oil (vegetable) - Retail,208.0,South Sudan - Konyo Konyo
2018-01-15,SSP/L,Oil (vegetable) - Retail,250.0,South Sudan - Konyo Konyo
2018-03-15,SSP/L,Oil (vegetable) - Retail,300.0,South Sudan - Konyo Konyo
2018-04-15,SSP/L,Oil (vegetable) - Retail,300.0,South Sudan - Konyo Konyo
2018-06-15,SSP/L,Oil (vegetable) - Retail,400.0,South Sudan - Konyo Konyo
2018-07-15,SSP/L,Oil (vegetable) - Retail,400.0,South Sudan - Konyo Konyo
2018-08-15,SSP/L,Oil (vegetable) - Retail,375.0,South Sudan - Konyo Konyo
2018-09-15,SSP/L,Oil (vegetable) - Retail,365.0,South Sudan - Konyo Konyo
2018-10-15,SSP/L,Oil (vegetable) - Retail,200.0,South Sudan - Konyo Konyo
2018-12-15,SSP/L,Oil (vegetable) - Retail,280.0,South Sudan - Konyo Konyo
2019-03-15,SSP/L,Oil (vegetable) - Retail,300.0,South Sudan - Konyo Konyo
2007-08-15,SSP/KG,Groundnuts (shelled) - Retail,7.55,South Sudan - Konyo Konyo
2007-09-15,SSP/KG,Groundnuts (shelled) - Retail,7.4,South Sudan - Konyo Konyo
2007-10-15,SSP/KG,Groundnuts (shelled) - Retail,7.3,South Sudan - Konyo Konyo
2007-11-15,SSP/KG,Groundnuts (shelled) - Retail,7.38,South Sudan - Konyo Konyo
2007-12-15,SSP/KG,Groundnuts (shelled) - Retail,10.075,South Sudan - Konyo Konyo
2008-01-15,SSP/KG,Groundnuts (shelled) - Retail,8.8,South Sudan - Konyo Konyo
2008-02-15,SSP/KG,Groundnuts (shelled) - Retail,9.42,South Sudan - Konyo Konyo
2008-03-15,SSP/KG,Groundnuts (shelled) - Retail,10.15,South Sudan - Konyo Konyo
2008-04-15,SSP/KG,Groundnuts (shelled) - Retail,10.7333,South Sudan - Konyo Konyo
2008-05-15,SSP/KG,Groundnuts (shelled) - Retail,12.075,South Sudan - Konyo Konyo
2008-06-15,SSP/KG,Groundnuts (shelled) - Retail,14.55,South Sudan - Konyo Konyo
2008-07-15,SSP/KG,Groundnuts (shelled) - Retail,17.325,South Sudan - Konyo Konyo
2008-08-15,SSP/KG,Groundnuts (shelled) - Retail,16.1,South Sudan - Konyo Konyo
2008-09-15,SSP/KG,Groundnuts (shelled) - Retail,15.05,South Sudan - Konyo Konyo
2008-10-15,SSP/KG,Groundnuts (shelled) - Retail,16.4,South Sudan - Konyo Konyo
2008-11-15,SSP/KG,Groundnuts (shelled) - Retail,18.65,South Sudan - Konyo Konyo
2008-12-15,SSP/KG,Groundnuts (shelled) - Retail,17.5,South Sudan - Konyo Konyo
2009-01-15,SSP/KG,Groundnuts (shelled) - Retail,18.2,South Sudan - Konyo Konyo
2009-02-15,SSP/KG,Groundnuts (shelled) - Retail,17.5,South Sudan - Konyo Konyo
2009-03-15,SSP/KG,Groundnuts (shelled) - Retail,15.55,South Sudan - Konyo Konyo
2009-04-15,SSP/KG,Groundnuts (shelled) - Retail,13.6,South Sudan - Konyo Konyo
2009-05-15,SSP/KG,Groundnuts (shelled) - Retail,16.225,South Sudan - Konyo Konyo
2009-06-15,SSP/KG,Groundnuts (shelled) - Retail,20.125,South Sudan - Konyo Konyo
2009-07-15,SSP/KG,Groundnuts (shelled) - Retail,28.45,South Sudan - Konyo Konyo
2009-08-15,SSP/KG,Groundnuts (shelled) - Retail,26.7,South Sudan - Konyo Konyo
2009-09-15,SSP/KG,Groundnuts (shelled) - Retail,22.8,South Sudan - Konyo Konyo
2009-10-15,SSP/KG,Groundnuts (shelled) - Retail,12.125,South Sudan - Konyo Konyo
2009-11-15,SSP/KG,Groundnuts (shelled) - Retail,10.0,South Sudan - Konyo Konyo
2009-12-15,SSP/KG,Groundnuts (shelled) - Retail,9.0,South Sudan - Konyo Konyo
2010-01-15,SSP/KG,Groundnuts (shelled) - Retail,7.6,South Sudan - Konyo Konyo
2010-02-15,SSP/KG,Groundnuts (shelled) - Retail,9.0,South Sudan - Konyo Konyo
2010-03-15,SSP/KG,Groundnuts (shelled) - Retail,8.625,South Sudan - Konyo Konyo
2010-04-15,SSP/KG,Groundnuts (shelled) - Retail,10.0,South Sudan - Konyo Konyo
2010-05-15,SSP/KG,Groundnuts (shelled) - Retail,10.0,South Sudan - Konyo Konyo
2010-06-15,SSP/KG,Groundnuts (shelled) - Retail,10.0,South Sudan - Konyo Konyo
2010-07-15,SSP/KG,Groundnuts (shelled) - Retail,13.6,South Sudan - Konyo Konyo
2010-08-15,SSP/KG,Groundnuts (shelled) - Retail,12.6667,South Sudan - Konyo Konyo
2010-09-15,SSP/KG,Groundnuts (shelled) - Retail,9.75,South Sudan - Konyo Konyo
2010-10-15,SSP/KG,Groundnuts (shelled) - Retail,10.0,South Sudan - Konyo Konyo
2010-11-15,SSP/KG,Groundnuts (shelled) - Retail,4.0,South Sudan - Konyo Konyo
2010-12-15,SSP/KG,Groundnuts (shelled) - Retail,6.0,South Sudan - Konyo Konyo
2011-01-15,SSP/KG,Groundnuts (shelled) - Retail,6.6667,South Sudan - Konyo Konyo
2011-02-15,SSP/KG,Groundnuts (shelled) - Retail,9.0,South Sudan - Konyo Konyo
2011-03-15,SSP/KG,Groundnuts (shelled) - Retail,10.3333,South Sudan - Konyo Konyo
2011-04-15,SSP/KG,Groundnuts (shelled) - Retail,10.875,South Sudan - Konyo Konyo
2011-05-15,SSP/KG,Groundnuts (shelled) - Retail,10.0,South Sudan - Konyo Konyo
2011-06-15,SSP/KG,Groundnuts (shelled) - Retail,11.5,South Sudan - Konyo Konyo
2011-07-15,SSP/KG,Groundnuts (shelled) - Retail,15.6,South Sudan - Konyo Konyo
2011-08-15,SSP/KG,Groundnuts (shelled) - Retail,19.5,South Sudan - Konyo Konyo
2011-09-15,SSP/KG,Groundnuts (shelled) - Retail,12.5,South Sudan - Konyo Konyo
2011-10-15,SSP/KG,Groundnuts (shelled) - Retail,20.25,South Sudan - Konyo Konyo
2011-11-15,SSP/KG,Groundnuts (shelled) - Retail,19.6667,South Sudan - Konyo Konyo
2011-12-15,SSP/KG,Groundnuts (shelled) - Retail,19.6667,South Sudan - Konyo Konyo
2012-01-15,SSP/KG,Groundnuts (shelled) - Retail,20.75,South Sudan - Konyo Konyo
2012-02-15,SSP/KG,Groundnuts (shelled) - Retail,14.0,South Sudan - Konyo Konyo
2012-03-15,SSP/KG,Groundnuts (shelled) - Retail,14.6,South Sudan - Konyo Konyo
2012-04-15,SSP/KG,Groundnuts (shelled) - Retail,12.25,South Sudan - Konyo Konyo
2012-05-15,SSP/KG,Groundnuts (shelled) - Retail,14.0,South Sudan - Konyo Konyo
2012-07-15,SSP/KG,Groundnuts (shelled) - Retail,15.6,South Sudan - Konyo Konyo
2012-08-15,SSP/KG,Groundnuts (shelled) - Retail,19.5,South Sudan - Konyo Konyo
2012-09-15,SSP/KG,Groundnuts (shelled) - Retail,12.5,South Sudan - Konyo Konyo
2012-10-15,SSP/KG,Groundnuts (shelled) - Retail,13.5,South Sudan - Konyo Konyo
2012-11-15,SSP/KG,Groundnuts (shelled) - Retail,10.0,South Sudan - Konyo Konyo
2012-12-15,SSP/KG,Groundnuts (shelled) - Retail,10.0,South Sudan - Konyo Konyo
2013-04-15,SSP/KG,Groundnuts (shelled) - Retail,11.5,South Sudan - Konyo Konyo
2013-05-15,SSP/KG,Groundnuts (shelled) - Retail,11.5,South Sudan - Konyo Konyo
2013-06-15,SSP/KG,Groundnuts (shelled) - Retail,12.5,South Sudan - Konyo Konyo
2013-07-15,SSP/KG,Groundnuts (shelled) - Retail,12.0,South Sudan - Konyo Konyo
2013-08-15,SSP/KG,Groundnuts (shelled) - Retail,10.05,South Sudan - Konyo Konyo
2013-09-15,SSP/KG,Groundnuts (shelled) - Retail,12.0,South Sudan - Konyo Konyo
2013-10-15,SSP/KG,Groundnuts (shelled) - Retail,10.25,South Sudan - Konyo Konyo
2013-11-15,SSP/KG,Groundnuts (shelled) - Retail,10.25,South Sudan - Konyo Konyo
2013-12-15,SSP/KG,Groundnuts (shelled) - Retail,10.0,South Sudan - Konyo Konyo
2014-01-15,SSP/KG,Groundnuts (shelled) - Retail,13.0,South Sudan - Konyo Konyo
2014-02-15,SSP/KG,Groundnuts (shelled) - Retail,10.0,South Sudan - Konyo Konyo
2014-03-15,SSP/KG,Groundnuts (shelled) - Retail,12.0,South Sudan - Konyo Konyo
2014-04-15,SSP/KG,Groundnuts (shelled) - Retail,11.0,South Sudan - Konyo Konyo
2014-05-15,SSP/KG,Groundnuts (shelled) - Retail,11.0,South Sudan - Konyo Konyo
2014-06-15,SSP/KG,Groundnuts (shelled) - Retail,11.0,South Sudan - Konyo Konyo
2014-07-15,SSP/KG,Groundnuts (shelled) - Retail,11.0,South Sudan - Konyo Konyo
2014-08-15,SSP/KG,Groundnuts (shelled) - Retail,11.0,South Sudan - Konyo Konyo
2014-09-15,SSP/KG,Groundnuts (shelled) - Retail,10.0,South Sudan - Konyo Konyo
2014-10-15,SSP/KG,Groundnuts (shelled) - Retail,10.0,South Sudan - Konyo Konyo
2014-11-15,SSP/KG,Groundnuts (shelled) - Retail,9.0,South Sudan - Konyo Konyo
2015-05-15,SSP/KG,Groundnuts (shelled) - Retail,19.0,South Sudan - Konyo Konyo
2015-06-15,SSP/KG,Groundnuts (shelled) - Retail,18.0,South Sudan - Konyo Konyo
2015-07-15,SSP/KG,Groundnuts (shelled) - Retail,23.0,South Sudan - Konyo Konyo
2015-08-15,SSP/KG,Groundnuts (shelled) - Retail,20.0,South Sudan - Konyo Konyo
2015-09-15,SSP/KG,Groundnuts (shelled) - Retail,21.5,South Sudan - Konyo Konyo
2015-10-15,SSP/KG,Groundnuts (shelled) - Retail,32.0,South Sudan - Konyo Konyo
2015-11-15,SSP/KG,Groundnuts (shelled) - Retail,25.8,South Sudan - Konyo Konyo
2015-12-15,SSP/KG,Groundnuts (shelled) - Retail,29.5,South Sudan - Konyo Konyo
2016-01-15,SSP/KG,Groundnuts (shelled) - Retail,40.0,South Sudan - Konyo Konyo
2016-02-15,SSP/KG,Groundnuts (shelled) - Retail,47.5,South Sudan - Konyo Konyo
2016-03-15,SSP/KG,Groundnuts (shelled) - Retail,54.0,South Sudan - Konyo Konyo
2016-04-15,SSP/KG,Groundnuts (shelled) - Retail,56.5,South Sudan - Konyo Konyo
2016-05-15,SSP/KG,Groundnuts (shelled) - Retail,53.0,South Sudan - Konyo Konyo
2016-06-15,SSP/KG,Groundnuts (shelled) - Retail,52.0,South Sudan - Konyo Konyo
2016-07-15,SSP/KG,Groundnuts (shelled) - Retail,240.0,South Sudan - Konyo Konyo
2016-08-15,SSP/KG,Groundnuts (shelled) - Retail,170.0,South Sudan - Konyo Konyo
2016-09-15,SSP/KG,Groundnuts (shelled) - Retail,134.5,South Sudan - Konyo Konyo
2016-10-15,SSP/KG,Groundnuts (shelled) - Retail,137.5,South Sudan - Konyo Konyo
2016-11-15,SSP/KG,Groundnuts (shelled) - Retail,175.5,South Sudan - Konyo Konyo
2016-12-15,SSP/KG,Groundnuts (shelled) - Retail,151.0,South Sudan - Konyo Konyo
2017-01-15,SSP/KG,Groundnuts (shelled) - Retail,203.0,South Sudan - Konyo Konyo
2017-02-15,SSP/KG,Groundnuts (shelled) - Retail,212.0,South Sudan - Konyo Konyo
2017-03-15,SSP/KG,Groundnuts (shelled) - Retail,250.0,South Sudan - Konyo Konyo
2017-04-15,SSP/KG,Groundnuts (shelled) - Retail,265.0,South Sudan - Konyo Konyo
2017-05-15,SSP/KG,Groundnuts (shelled) - Retail,260.0,South Sudan - Konyo Konyo
2017-06-15,SSP/KG,Groundnuts (shelled) - Retail,263.0,South Sudan - Konyo Konyo
2017-07-15,SSP/KG,Groundnuts (shelled) - Retail,225.0,South Sudan - Konyo Konyo
2017-08-15,SSP/KG,Groundnuts (shelled) - Retail,250.0,South Sudan - Konyo Konyo
2017-10-15,SSP/KG,Groundnuts (shelled) - Retail,360.0,South Sudan - Konyo Konyo
2017-11-15,SSP/KG,Groundnuts (shelled) - Retail,360.0,South Sudan - Konyo Konyo
2017-12-15,SSP/KG,Groundnuts (shelled) - Retail,360.0,South Sudan - Konyo Konyo
2018-01-15,SSP/KG,Groundnuts (shelled) - Retail,278.0,South Sudan - Konyo Konyo
2018-03-15,SSP/KG,Groundnuts (shelled) - Retail,325.0,South Sudan - Konyo Konyo
2018-04-15,SSP/KG,Groundnuts (shelled) - Retail,430.0,South Sudan - Konyo Konyo
2018-06-15,SSP/KG,Groundnuts (shelled) - Retail,500.0,South Sudan - Konyo Konyo
2018-07-15,SSP/KG,Groundnuts (shelled) - Retail,500.0,South Sudan - Konyo Konyo
2018-08-15,SSP/KG,Groundnuts (shelled) - Retail,450.0,South Sudan - Konyo Konyo
2018-09-15,SSP/KG,Groundnuts (shelled) - Retail,450.0,South Sudan - Konyo Konyo
2018-10-15,SSP/KG,Groundnuts (shelled) - Retail,352.5,South Sudan - Konyo Konyo
2018-12-15,SSP/KG,Groundnuts (shelled) - Retail,680.0,South Sudan - Konyo Konyo
2019-03-15,SSP/KG,Groundnuts (shelled) - Retail,430.0,South Sudan - Konyo Konyo
2008-08-15,SSP/3.5 KG,Millet (white) - Retail,10.0,South Sudan - Konyo Konyo
2008-09-15,SSP/3.5 KG,Millet (white) - Retail,12.5,South Sudan - Konyo Konyo
2008-10-15,SSP/3.5 KG,Millet (white) - Retail,12.2333,South Sudan - Konyo Konyo
2009-01-15,SSP/3.5 KG,Millet (white) - Retail,8.3,South Sudan - Konyo Konyo
2009-03-15,SSP/3.5 KG,Millet (white) - Retail,10.0,South Sudan - Konyo Konyo
2009-04-15,SSP/3.5 KG,Millet (white) - Retail,9.825,South Sudan - Konyo Konyo
2009-06-15,SSP/3.5 KG,Millet (white) - Retail,4.3,South Sudan - Konyo Konyo
2009-07-15,SSP/3.5 KG,Millet (white) - Retail,14.375,South Sudan - Konyo Konyo
2009-08-15,SSP/3.5 KG,Millet (white) - Retail,14.7333,South Sudan - Konyo Konyo
2009-09-15,SSP/3.5 KG,Millet (white) - Retail,13.3,South Sudan - Konyo Konyo
2009-10-15,SSP/3.5 KG,Millet (white) - Retail,14.6,South Sudan - Konyo Konyo
2009-11-15,SSP/3.5 KG,Millet (white) - Retail,14.6,South Sudan - Konyo Konyo
2009-12-15,SSP/3.5 KG,Millet (white) - Retail,10.3,South Sudan - Konyo Konyo
2010-02-15,SSP/3.5 KG,Millet (white) - Retail,12.0,South Sudan - Konyo Konyo
